level,levelName,vName,def_tech,ref,def_simple,comments
1,Functional purposes,Cultural heritage & sense of place,"Cities should provide a sense of place which is defined as the degree of meaning people ascribe to a particular location. Sense of place echoes the intersections of culture, environment, history, politics and economics, and is impacted by global mobility, and blurred boundaries between natural and built environment. Sense of place is therefore closely connected to cultural heritage. Cultural heritage is a group of resources inherited from the past which people identify, independently of ownership, as a reflection and expression of their constantly evolving values, beliefs, knowledge, and traditions. Sense of place and cultural heritage is about the interaction between people and place through time, and a recognition of the intergenerational legacy of the built environment. Cities strive to have a strong identity which is deeply felt by its inhabitants and visitors.","Council of Europe, 2005; Russell et al., 2011.",This is about the specific cultural identity of a city.,
1,Functional purposes,Economic opportunity,"
Agglomeration in cities stimulates trade and allows for increased productivity. Citizens are more likely to find jobs suited to their skills in a city because of larger labour markets. Economic opportunity provides diversity of jobs and economic security, as well as investment in inclusive, sustainable economic growth.",World bank; Liberty Street Economics,"This is about the availability and diversity of work, and financial growth.",
1,Functional purposes,Globalised connectivity,"A city is a globalised and networked flow of materials, ideas and people that help build awareness to the relationship between the local and the global.  Cities contain economic, cultural, and institutional apparatus that channels national  resources into the global economy and that transmits the impulses of globalisation back to national centres. They have the potential to have an impact on wider global mechanisms through ‘local’ politics, not merely by defending and giving a voice to the local against the global, but seeking to alter the mechanisms of the global itself. Cities play an important role in shaping the global economy, culture and society, but they are also shaped by it.","Massey, 2004 Knox, 1996.",,
1,Functional purposes,Knowledge transfer & diffusion of innovation,"Cities are a hub for research centres and higher education institutions that set the cultural, social and intellectual tone of a city. Cities are not just mere containers for innovative ideas, but are actively involved in the generation of new ideas. A high level of provision of education, services, leisure activities combined with high population density and frequency of interaction found in cities favour social and technological innovation. Geographical proximity to knowledge has a strong effect on the number of educated people in a city, as ideas and technology flow out to surrounding businesses. This allows cities to empower and educate their citizens so they can become members in of society capable of engaging in a debate about their own environment.","European Commission, 2020; Smith, 2018.",,
1,Functional purposes,Physical settlement,"Cities provide adequate housing and accommodation which provides a home for people as well as driving tourism. A physical settlement within a city refers to the physical space and environment in which households are sheltered, and how one shelter related to another. The settlement is the physical platform that establishes the living space of which shelter is but one component. It is more than providing shelter, it is strategically integrated to the surrounding area, provides a family asset base, and facilitates social cohesion.","Smith, 2018; LeGrand and Malany, 2013.",,
1,Functional purposes,Pooling of resources,"Cities provide a collaborative process of bringing together a wide spectrum of actors that work together to co-design and co-produce shared, common goods and services at different scales. Pooling of resources is of vital importance to reduce the use of materials and energy in  cities. It helps to support emerging industry in a way that is financially efficient by pooling resources and tackling financial, regulatory, risk and market barriers together. Cities respond to cost pressures by seeking service arrangements that make possible to pool resources into shared services. Shared services represent a hybrid sourcing mechanism that combines the advantages of insourcing and outsourcing. Such services can produce economies of scope and scale, although they are predominately focused on serving internal citizens. Pooling of resources reduces resource constraints whilst providing more efficient services to a larger community. Examples include public services and utilities.","Scholl and AiAwadi, 2015",,
1,Functional purposes,Safety & security,"Urban safety refers to the extent to which a city’s inhabitants are able to live, work and participate in urban life without fear of bodily harm and intimidation. For a city to be safe, it requires security measurements such as law enforcement to respond to crime and reduce feelings of insecurity; emergency response; critical infrastructure that protects physical and mental health; community cohesion and peaceful coexistence by developing a sense of community and trust amongst city residents and working to reduce all forms of segregation within the city; cyber security and data protection. It includes both physical security and perception of safety.","Roberts, 2018",,
1,Functional purposes,Social opportunity and care,"Cities have higher population densities and draw people from different ethnic and cultural backgrounds. Such diversity allows people to experience different religions and foods, whilst driving equal rights and participation for all. Moreover, a higher population density means that cities offer close proximity to healthcare that is better prepared for emergencies. Cities provide people with different social opportunities based on increased social networks and the overall environment in which they live.",World bank,,
2,Values and priority measures,Collective identity and community support,"This is observed as active community engagement, strong social networks and social integration.",,"This is about well-connected, active communities.",
2,Values and priority measures,Comprehensive security and rule of law,"This includes law enforcement, fair justice, and prevention of crime and corruption.",,This is about justice and crime prevention.,
2,Values and priority measures,Diverse livelihoods and employment,"This is facilitated by access to finance, ability to accrue savings, skills training, business support, and social welfare.",,"This is about residents’ financial access, for example the ability to accrue savings, access social welfare benefits, or gain skills training.",
2,Values and priority measures,Effective leadership and management,"This is enabled by trusted individuals, multi-stakeholder consultation; evidence-based decision-making and disaster risk reduction activities.",,This is about effective leaders who consider all voices and make evidence-based decisions. ,
2,Values and priority measures,Effective provision of critical services,"This results from active management and maintenance of ecosystems, and from diversity of provision, redundant capacity, and adequate maintenance of essential utility services, combined with robust contingency planning.",,"This is about how to provide city services in a holistic and effective way. For example, managing ecosystems at the same time as maintaining utility services.",
2,Values and priority measures,Effective safeguards to human health and life,"This relies on integrated health facilities and services, and responsive emergency services.",,This is about preventing harm and prolonging human life.,
2,Values and priority measures,Empowered stakeholders,"This is underpinned by education for all, and relies on access to up-to-date information and knowledge to enable people and organisations to take action.",,This is about residents' having agency in decisions which affect their lives.,
2,Values and priority measures,Environmental sustainability,"(Not in 100RC). The maintenance of natural capital. The two fundamental environmental services - source and sink functions - must be maintained unimpaired over the period of which sustainability is required. Environmental sustainability is a set of constraints on the four major activities regulating the scale of the human economic subsystem: the use of renewable and non-renewable resources on the source side, and pollution and waste assimilation on the sink side (Goodland, 1995).",,"This is about ensuring environmental health in the long-term (for example, over decades or centuries).",
2,Values and priority measures,Integrated development and planning,"This is indicated by the presence of a vision, an integrated development strategy, and plans that are regularly reviewed and updated by cross-departmental groups.",,This is about having a strategy or action plan that is regularly reviewed and updated.,
2,Values and priority measures,Minimal vulnerability,This relates to the extent to which everyone's basic needs are met.,,"This is about the extent to which everyone's basic needs are met (for example food, water, clothing, housing)",
2,Values and priority measures,Reduced exposure and fragility,"This relies on a comprehensive understanding of the hazards and risks to which a city is exposed that informs the development of integrated strategies to physically protect the city combining sound environmental stewardship, robust design and maintenance of man-made infrastructure, and enforcement of appropriate building codes and regulations.",,"This is about ensuring hazards do not prevent a city from continuing to function in the short- to medium-term (for example, over days or months).",
2,Values and priority measures,Reliable communications and mobility,"This is enabled by diverse and affordable multi-modal transport systems and information and communication technology (ICT) networks, and contingency planning.",,This is about the adequacy of city services to support communication and travel.,
2,Values and priority measures,Socio-economic equality and equity,,,This is about fairness in the creation of social policies and the distribution of resources.,
2,Values and priority measures,Sustainable economy,"This is observed in sound management of city finances, diverse revenue streams, and the ability to attract business investment, allocate capital, and build emergency funds.",,This is about the economic health and attractiveness of the city.,
3,Generalised functions,Animal welfare,"Functions that contribute to the welfare of domesticated animals, livestock and wildlife. ",,"This includes tasks that contribute to the welfare of domesticated animals, livestock and wildlife.",
3,Generalised functions,Biological hazard regulation,"Functions that regulate (not respond to) hazards from aquaculture, insect infestation, invasive species, human-animal interaction, CBRNE, mental health, food safety, and infectious diseases. Also includes functions that regulate chemical hazards from gases, heavy metals, food safety, persisent organic pollutants, hydrocarbons, CBRNE, other chemical hazards and toxins.",,"This is about regulating biological hazards, for example pandemics.",
3,Generalised functions,Ceremonies and services for major life events,Functions that enable ceremonies and services for major life events.,,This is about performing ceremonies such as marriages and funerals.,
3,Generalised functions,Clean air,Functions that enable clean air and improve air quality.,,This is about ensuring air is healthy to breathe.,
3,Generalised functions,Clean water,Functions that enable clean drinking water through the supply chain and improve water quality.,,This is about providing water that is clean and good quality.,
3,Generalised functions,Clothing provision,Functions that enable clothing provision through the supply chain and maintenance services.,,"This is about providing clothing through manufacturing, the supply chain, and maintenance services.",
3,Generalised functions,Communication systems,Functions that enable communication systems through the supply chain.,,"This is about providing communications services, for example mobile networks.",
3,Generalised functions,Community activities and engagement,Functions that enable communitity activities and community engagement.,,"This includes tasks needed to hold community activities, for example providing public spaces or events venues.",
3,Generalised functions,Distribution of goods (logistics),Functions that enable the distribution of goods.,,This is about supply chains and distributing goods.,
3,Generalised functions,Emergency services,"Functions that enable emergency services, such as transport infrastructure, logistics and emergency response.",,This is about organising the infrastructure and logistical ability to respond to emergencies.,
3,Generalised functions,Employment provision,"Functions that enable access to employment, provision of employment and wellbeing in the workplace.",,This is about providing opportunities for employment for residents.,
3,Generalised functions,Energy supply,Functions that contribute to the energy supply chain.,,"This is about providing energy services, for example electricity.",
3,Generalised functions,Environmental conservation,"Functions that enable environmental conservation through environmental monitoring, environmental managment and ecosystem serivces.",,This is about monitoring and managing the natural environment.,
3,Generalised functions,Environmental and geohazard regulation,"Functions that regulate (not respond to) hazards from environmental degradation as well as seismogenic, volcanogenic, and shallow geohazards.",,"This is about regulating environmental hazards, for example earthquake-proof construction.",
3,Generalised functions,Financial services,Functions that enable financial services and economic security.,,This is about banking and other financial services such as insurance.,Check with Melissa about economic security as it does not cover employment provision. Should economic security be in the FP?
3,Generalised functions,Food provision,Functions that enable food provision through the supply chain and regulatory standards.,,"This is about providing food for example through agriculture, food standards, and the supply chain.",
3,Generalised functions,Foster social cohesion,Functions that enable communities to be inclusive and contribute to neighbourliness.,,"This includes tasks needed to create neighbourliness, for example having a sense of home.",
3,Generalised functions,Goods and services provision,Functions that enable the provision of goods and services.,,This includes business activity that provides goods and services.,
3,Generalised functions,Governance,"Functions that enable governance at local, regional or national level.",,"This includes tasks administered by government (local, regional, and national).",
3,Generalised functions,Historical and cultural value contribution,Functions that enable historical and cultural value contribution.,,"This is about contributing to history or culture, for example religious buildings are places of local significance.",
3,Generalised functions,Housing provision,"Functions that enable secure housing provision through infrastructure services, building standards and financial services.",,"This includes tasks to provide housing, for example through construction and real estate management.",
3,Generalised functions,Hydrometeorological hazard regulation,"Functions that regulate (not respond to) convective-related hazards, floods, lithometeors, marine hazards, pressure/precipitation/temperature/wind-related hazards, and terrestrial hazards.",,"This is about regulating hazards like floods, for example creating stormwater retention basins to prevent flooding.",
3,Generalised functions,Law and order,Functions that enable law and order of society. This at the collective scale.,,This is about the justice system and includes tasks like investigating crimes and running prisons.,
3,Generalised functions,Learning and education,Functions that enable learning and education in a formal capacity as well as informal capacity (e.g. from cultural and recreational learning).,,"This is about official and unofficial education, for example public school and recreational learning.",
3,Generalised functions,Observance of religion,Functions that enable freedom to observe religion.,,"This is about observing religious practices, for example by providing a place of worship.",
3,Generalised functions,Physical security,Functions that enable security on an individual scale.,,This is about individuals' physical security and safety.,
3,Generalised functions,Planning activities,Functions that enable strategic urban planning.,,"This is about planning the design of cities, for example where new housing is built.",
3,Generalised functions,Public health,"Functions that enable a healthy population, improve quality of life and prolong life.",,"This is about official healthcare and unofficial services that support health, including everything from doctors' offices to green spaces.",
3,Generalised functions,Recreational activities,Functions that enable recreational and leisure activities.,,This is about recreation and relaxation.,
3,Generalised functions,Road conditions and safety,Functions that enable road conditions to be safe.,,This includes roads maintenance and design.,
3,Generalised functions,Sanitation provision,Functions that enable sanitation provision.,,This is about providing adequate bathing and toilet facilities.,
3,Generalised functions,Social interaction,Functions that enable meaningful social interaction within a city.,,"This is about allowing social interaction, for example by meeting in a restaurant.",
3,Generalised functions,Societal hazard regulation,"Functions that regulate (not respond to) hazards from conflict, post-conflict, behavioural hazards or economic hazards (such as a financial shock).",,"This is about regulating social hazards, for example preventing social unrest.",
3,Generalised functions,Technological hazard regulation,"Functions that regulate (not respond to) hazards from radiation, CBRNE, construction/structural failure, infrastructure failure, cyber hazards, industrial failures or non-compliance, waste, floods, or transportation.",,"This is about regulating technological hazards, for example by designing dams safely so that they do not fail.",
3,Generalised functions,Tourism,Functions that enable tourism by attracting visitors to the city for economic development.,,This is about business activity and economic growth specifically because of people traveling from other areas to a city.,
3,Generalised functions,"Travel (people, not goods)",Functions that enable the people to travel both within the city and to other places.,,"This is about providing transportation services, for example adequate walkways and public bus systems.",
3,Generalised functions,Waste management,Functions that enable waste management.,,"This is about providing waste services, for example rubbish collection.",
4,Object-related processes,Accommodate prisoners,Accommodate prisoners.,,,
4,Object-related processes,Act as access point for electricity,Affords access to electricity for personal or commerical use.,,,
4,Object-related processes,Act as access point for food,Affords access to food.,,,
4,Object-related processes,Act as access point for gas,Affords access to gas for personal or commerical use.,,,
4,Object-related processes,Act as access point for goods distribution,Affords goods to be deposited and collected for distribution.,,,
4,Object-related processes,Act as access point for petrol or oil,Affords acccess to fuel for transport.,,,
4,Object-related processes,Act as access point for potable water,Affords access to potable water for public use.,,,
4,Object-related processes,Act as access point for public transport,Affords access to public transport.,,,
4,Object-related processes,Act as access point for sanitation,Affords access to sanitation for public use.,,,
4,Object-related processes,Act as access point for telecommunication,Affords access to a telecommunication service such as telephone or broadband.,,,
4,Object-related processes,Act as access point for traffic information,Affords access to traffic information for public use.,,,
4,Object-related processes,Act as access point for waste and recycling,Affords access to dispose of waste and recycling.,,,
4,Object-related processes,Act as access point to cash,Affords an access point to cash.,,,
4,Object-related processes,Act as community meeting space,"Affords an agenda-free, multi-purpose indoor or outdoor space in the local community to interact with each other. The space can either rented for private events or freely accessible. ",,,
4,Object-related processes,Act as grid point for electricity,"Affords an intermediate stage in electrical infrastructure network, for storing and routing.",,,
4,Object-related processes,Act as grid point for gas,"Affords an intermediate stage in gas infrastructure network, for storing and routing.",,,
4,Object-related processes,Act as grid point for telecommunications,"Affords an intermediate stage in telecommunications infrastructure network, for storing and routing.",,,
4,Object-related processes,Act as grid point for wastewater,"Affords an intermediate stage in wastewater/sewerage infrastructure network, for storing and routing.",,,
4,Object-related processes,Act as grid point for water,"Affords an intermediate stage in water infrastructure network, for storing and routing.",,,
4,Object-related processes,Act as mode of transport,Affords a means to travel.,,,
4,Object-related processes,Act as place of historical or cultural importance,"Affords a place of historical or cultural importance, contributing to place-making (excludes sports facilities).",,,
4,Object-related processes,Act as point of contact for public to raise social and civic issues,Affords a meeting point where the public can raise social and civic issues for the attention of government and/or media.,,,
4,Object-related processes,Act as training grounds for armed forces exercise,Affords armed forces exercises and training.,,,
4,Object-related processes,Act as transport hub,Affords passengers to exchange between different modes of transport.,,,
4,Object-related processes,Administrate armed forces operations,Administrates armed forces operations.,,,
4,Object-related processes,Administrate banking operations,Administrates banking operations and policies.,,,
4,Object-related processes,Administrate welfare benefits,Administrates access to and provision of welfare benefits (e.g. universal credit).,,,
4,Object-related processes,Administrate business support,Administrates access to and provision of business support.,,,
4,Object-related processes,Administrate community grants,Administrates access to and provision of community grants.,,,
4,Object-related processes,Administrate diplomacy,Administrates international relations and diplomacy.,,,
4,Object-related processes,Administrate educational facilities,Administrates access to and provision of educational facilities.,,,
4,Object-related processes,Administrate emergency services,Administrates access to and provision of emergency services.,,,
4,Object-related processes,Administrate healthcare services,Administrates access to and provision of healthcare services.,,,
4,Object-related processes,Administrate large-scale transport of goods or people,Administrates logistics around large-scale transport of goods or people.,,,
4,Object-related processes,Administrate political campaigns,Administrates political campaigns to help with elections.,,,
4,Object-related processes,Administrate political duties,Administrates poltical duties of elected officials.,,,
4,Object-related processes,Administrate provision of electricity,Administrates access to and provision of electricity for households and businesses.,,,
4,Object-related processes,Administrate provision of gas,Administrates access to and provision of gas for households and businesses.,,,
4,Object-related processes,Administrate provision of potable water,Administrates access to and provision of potable water for personal and commerical use.,,,
4,Object-related processes,Administrate provision of telecommunications,Administrates access to and provision of telecommunication (e.g. broadband services) for households and businesses. ,,,
4,Object-related processes,Administrate provision of temporary accommodation,Administrates access to and provision of temporary accommodation.,,,
4,Object-related processes,Administrate provision of traffic information,Administrates access to and provision of traffic information.,,,
4,Object-related processes,Administrate provision of wastewater services,Administrates access to and provision of wastewater services.,,,
4,Object-related processes,Administrate sales,Administrates logistics around retail activity and other key business decisions.,,,
4,Object-related processes,Administrate taxes,Administrates taxes.,,,
